river_names,river_length,monitoring_locations,parameters,year,value,unit,note
Mahanadi, 851, 22,Total Coliform,2001,20-48000,MPN/100 ml,
Mahanadi, 851, 22,Faecal Coliform ,2001,23-23000,MPN/100 ml,
Brahmaputra,916,10,Temp ,2001,17-33,0C,
Brahmaputra,916,10,pH,2001,7-8.4,,
Brahmaputra,916,10,Conductivity ,2001,95-493,µmhos/cm,
Brahmaputra,916,10,DO,2001,4-10.5,mg/I,
Brahmaputra,916,10,BOD,2001,0.4-3.7,mg/I,
Brahmaputra,916,10,COD,2001,5-37.4,mg/I,
Brahmaputra,916,10,Total Coliform,2001,300-11x104,MPN/100 ml,
Brahmaputra,916,10,Faecal Coliform ,2001,300-24x104,MPN/100 ml,
Ganga, 2525,  57,Temp ,2002,3-34,0C,
Ganga, 2525,  57,pH,2002,6.4-9.0,,
Ganga, 2525,  57,Conductivity ,2002,19-2720,µmhos/cm,
Ganga, 2525,  57,DO,2002,207-11.5,mg/I,
Ganga, 2525,  57,BOD,2002,0.5-16.8,mg/I,
Ganga, 2525,  57,COD,2002,1.30,mg/I,
Ganga, 2525,  57,Total Coliform,2002,300-25x105,MPN/100 ml,
Ganga, 2525,  57,Faecal Coliform ,2002,20-11x105,MPN/100 ml,
Yamuna, 1376, 27,Temp ,2002,3-34,0C,
Yamuna, 1376, 27,pH,2002,6.7-9.8,,
Yamuna, 1376, 27,Conductivity ,2002,56-1959,µmhos/cm,
Yamuna, 1376, 27,DO,2002,0.1-22.7,mg/I,
Yamuna, 1376, 27,BOD,2002,1.0-36,mg/I,
Yamuna, 1376, 27,COD,2002,1-112,mg/I,
Yamuna, 1376, 27,Total Coliform,2002,27-26.3x106,MPN/100 ml,
Yamuna, 1376, 27,Faecal Coliform ,2002,11-11.2x105,MPN/100 ml,
Narmada,1312,21,Temp ,2002,-,0C,
Narmada,1312,21,pH,2002,6.9-9.3,,
Narmada,1312,21,Conductivity ,2002,102-1341,µmhos/cm,
Narmada,1312,21,DO,2002,5.8-9.8,mg/I,
Narmada,1312,21,BOD,2002,0.1-3.8,mg/I,
Narmada,1312,21,COD,2002,6-47,mg/I,
Narmada,1312,21,Total Coliform,2002,9-2400,MPN/100 ml,
Narmada,1312,21,Faecal Coliform ,2002,2-64,MPN/100 ml,
Godawari, 1465, 35,Temp ,2002,22-35,0C,
Godawari, 1465, 35,pH,2002,7-9,,
Godawari, 1465, 35,Conductivity ,2002,111-1400,µmhos/cm,
Godawari, 1465, 35,DO,2002,3.1-10.9,mg/I,
Godawari, 1465, 35,BOD,2002,0.5-78,mg/I,
Godawari, 1465, 35,COD,2002,3-96,mg/I,
Godawari, 1465, 35,Total Coliform,2002,8-5260,MPN/100 ml,
Godawari, 1465, 35,Faecal Coliform ,2002,2-3640,MPN/100 ml,
Krishna, 1401, 24,Temp ,2002,18-33,0C,
Krishna, 1401, 24,pH,2002,6.8-9.5,,
Krishna, 1401, 24,Conductivity ,2002,28-11050,µmhos/cm,
Krishna, 1401, 24,DO,2002,2.9-10.9,mg/I,
Krishna, 1401, 24,BOD,2002,0.2-10,mg/I,
Krishna, 1401, 24,COD,2002,3-88,mg/I,
Krishna, 1401, 24,Total Coliform,2002,17-33300,MPN/100 ml,
Krishna, 1401, 24,Faecal Coliform ,2002,3-1x103,MPN/100 ml,
Cauvery, 800, 29,Temp ,2002,21-37,0C,
Cauvery, 800, 29,pH,2002,2-9.2,,
Cauvery, 800, 29,Conductivity ,2002,31-53100,µmhos/cm,
Cauvery, 800, 29,DO,2002,0.1-12.6,mg/I,
Cauvery, 800, 29,BOD,2002,0.1-26.6,mg/I,
Cauvery, 800, 29,COD,2002,0-30,mg/I,
Cauvery, 800, 29,Total Coliform,2002,39-16x103,MPN/100 ml,
Cauvery, 800, 29,Faecal Coliform ,2002,2-28x103,MPN/100 ml,
Mahanadi, 851, 22,Temp ,2002,18-38,0C,
Mahanadi, 851, 22,pH,2002,7.3-8.9,,
Mahanadi, 851, 22,Conductivity ,2002,27-15940,µmhos/cm,
Mahanadi, 851, 22,DO,2002,1.3-10.4,mg/I,
Mahanadi, 851, 22,BOD,2002,1-7.6,mg/I,
Mahanadi, 851, 22,COD,2002,7-39,mg/I,
Mahanadi, 851, 22,Total Coliform,2002,15-30000,MPN/100 ml,
Mahanadi, 851, 22,Faecal Coliform ,2002,50-17000,MPN/100 ml,
Brahmaputra,916,10,Temp ,2002,15-32,0C,
Brahmaputra,916,10,pH,2002,6.5-9,,
Brahmaputra,916,10,Conductivity ,2002,104 -684,µmhos/cm,
Brahmaputra,916,10,DO,2002,1.1-10.5,mg/I,
Brahmaputra,916,10,BOD,2002,0.1-3.9,mg/I,
Brahmaputra,916,10,COD,2002,6-11,mg/I,
Brahmaputra,916,10,Total Coliform,2002,360-240000,MPN/100 ml,
Brahmaputra,916,10,Faecal Coliform ,2002,30024000,MPN/100 ml,
Ganga, 2525,  57,Temp ,2003,4-34,0C,
Ganga, 2525,  57,pH,2003,6.8-8.9,,
Ganga, 2525,  57,Conductivity ,2003,49-1323,µmhos/cm,
Ganga, 2525,  57,DO,2003,4-11,mg/I,
Ganga, 2525,  57,BOD,2003,0.8-27,mg/I,
Ganga, 2525,  57,COD,2003,2-47.2,mg/I,
Ganga, 2525,  57,Total Coliform,2003,47-45x105,MPN/100 ml,
Ganga, 2525,  57,Faecal Coliform ,2003,26-12x105,MPN/100 ml,
Yamuna, 1376, 27,Temp ,2003,2-38,0C,
Yamuna, 1376, 27,pH,2003,6.6-10,,
Yamuna, 1376, 27,Conductivity ,2003,45-.3500,µmhos/cm,
Yamuna, 1376, 27,DO,2003,0.3-22.8,mg/I,
Yamuna, 1376, 27,BOD,2003,1-58,mg/I,
Yamuna, 1376, 27,COD,2003,1-187,mg/I,
Yamuna, 1376, 27,Total Coliform,2003,110-171x107,MPN/100 ml,
Yamuna, 1376, 27,Faecal Coliform ,2003,40-203x106,MPN/100 ml,
Narmada,1312,21,Temp ,2003,12-31,0C,
Narmada,1312,21,pH,2003,7.1-8.5,,
Narmada,1312,21,Conductivity ,2003,95-441,µmhos/cm,
Narmada,1312,21,DO,2003,4.5-9.5,mg/I,
Narmada,1312,21,BOD,2003,0.4-3.3,mg/I,
Narmada,1312,21,COD,2003,7-29,mg/I,
Narmada,1312,21,Total Coliform,2003,4-1600,MPN/100 ml,
Narmada,1312,21,Faecal Coliform ,2003,1-110,MPN/100 ml,
Godawari, 1465, 35,Temp ,2003,22-37,0C,
Godawari, 1465, 35,pH,2003,7.1-8.7,,
Godawari, 1465, 35,Conductivity ,2003,115-1350,µmhos/cm,
Godawari, 1465, 35,DO,2003,3.2-9.3,mg/I,
Godawari, 1465, 35,BOD,2003,1.7-53,mg/I,
Godawari, 1465, 35,COD,2003,5-188,mg/I,
Godawari, 1465, 35,Total Coliform,2003,70-68200,MPN/100 ml,
Godawari, 1465, 35,Faecal Coliform ,2003,3-1400,MPN/100 ml,
Krishna, 1401, 24,Temp ,2003,18-35,0C,
Krishna, 1401, 24,pH,2003,6.7-8.9,,
Krishna, 1401, 24,Conductivity ,2003,36-40000,µmhos/cm,
Krishna, 1401, 24,DO,2003,0.7-12.6,mg/I,
Krishna, 1401, 24,BOD,2003,0.5-17,mg/I,
Krishna, 1401, 24,COD,2003,10.5-68,mg/I,
Krishna, 1401, 24,Total Coliform,2003,6-7x104,MPN/100 ml,
Krishna, 1401, 24,Faecal Coliform ,2003,2-2x104,MPN/100 ml,
Cauvery, 800, 29,Temp ,2003,8-34,0C,
Cauvery, 800, 29,pH,2003,7-9.2,,
Cauvery, 800, 29,Conductivity ,2003,42-57200,µmhos/cm,
Cauvery, 800, 29,DO,2003,2.1-13.5,mg/I,
Cauvery, 800, 29,BOD,2003,0.2-10,mg/I,
Cauvery, 800, 29,COD,2003,16-128,mg/I,
Cauvery, 800, 29,Total Coliform,2003,4-22x103,MPN/100 ml,
Cauvery, 800, 29,Faecal Coliform ,2003,2-4x103,MPN/100 ml,
Mahanadi, 851, 22,Temp ,2003,17-37,0C,
Mahanadi, 851, 22,pH,2003,6.5-8.6,,
Mahanadi, 851, 22,Conductivity ,2003,77-83600,µmhos/cm,
Mahanadi, 851, 22,DO,2003,4.7-10.1,mg/I,
Mahanadi, 851, 22,BOD,2003,0.3-5.6,mg/I,
Mahanadi, 851, 22,COD,2003,10-70,mg/I,
Mahanadi, 851, 22,Total Coliform,2003,4 -35x103,MPN/100 ml,
Mahanadi, 851, 22,Faecal Coliform ,2003,50-28x103,MPN/100 ml,
Brahmaputra,916,10,Temp ,2003,14-32,0C,
Brahmaputra,916,10,pH,2003,6.4-8.4,,
Brahmaputra,916,10,Conductivity ,2003,77.570,µmhos/cm,
Brahmaputra,916,10,DO,2003,1.2-11.5,mg/I,
Brahmaputra,916,10,BOD,2003,0.4-3.5,mg/I,
Brahmaputra,916,10,COD,2003,4.8-27.4,mg/I,
Brahmaputra,916,10,Total Coliform,2003,360-24x104,MPN/100 ml,
Brahmaputra,916,10,Faecal Coliform ,2003,300-24x104,MPN/100 ml,
Ganga, 2525,  57,Temp ,2004,5-35,0C,
Ganga, 2525,  57,pH,2004,7-8.8,,
Ganga, 2525,  57,Conductivity ,2004,72-4080,µmhos/cm,
Ganga, 2525,  57,DO,2004,0.3-13.2,mg/I,
Ganga, 2525,  57,BOD,2004,0.7-14.4,mg/I,
Ganga, 2525,  57,COD,2004,-,mg/I,
Ganga, 2525,  57,Total Coliform,2004,11-45x105,MPN/100 ml,
Ganga, 2525,  57,Faecal Coliform ,2004,11-7x105,MPN/100 ml,
Yamuna, 1376, 27,Temp ,2004,7-35,0C,
Yamuna, 1376, 27,pH,2004,6.8-9,,
Yamuna, 1376, 27,Conductivity ,2004,76-2150,µmhos/cm,
Yamuna, 1376, 27,DO,2004,0.3-19.5,mg/I,
Yamuna, 1376, 27,BOD,2004,1-40,mg/I,
Yamuna, 1376, 27,COD,2004,-,mg/I,
Yamuna, 1376, 27,Total Coliform,2004,21-1103x106,MPN/100 ml,
Yamuna, 1376, 27,Faecal Coliform ,2004,18-62x106,MPN/100 ml,
Narmada,1312,21,Temp ,2004,15-34,0C,
Narmada,1312,21,pH,2004,7-8.6,,
Narmada,1312,21,Conductivity ,2004,181-815,µmhos/cm,
Narmada,1312,21,DO,2004,5.5-9.6,mg/I,
Narmada,1312,21,BOD,2004,0.2-3.8,mg/I,
Narmada,1312,21,COD,2004,-,mg/I,
Narmada,1312,21,Total Coliform,2004,3-2400,MPN/100 ml,
Narmada,1312,21,Faecal Coliform ,2004,2-15,MPN/100 ml,
Godawari, 1465, 35,Temp ,2004,21-35,0C,
Godawari, 1465, 35,pH,2004,6.5-9,,
Godawari, 1465, 35,Conductivity ,2004,86-1290,µmhos/cm,
Godawari, 1465, 35,DO,2004,2.4-9.2,mg/I,
Godawari, 1465, 35,BOD,2004,0.2-15,mg/I,
Godawari, 1465, 35,COD,2004,-,mg/I,
Godawari, 1465, 35,Total Coliform,2004,4-22x104,MPN/100 ml,
Godawari, 1465, 35,Faecal Coliform ,2004,2-5x104,MPN/100 ml,
Krishna, 1401, 24,Temp ,2004,18-38,0C,
Krishna, 1401, 24,pH,2004,6.7-9,,
Krishna, 1401, 24,Conductivity ,2004,71-44000,µmhos/cm,
Krishna, 1401, 24,DO,2004,0.4-9.2,mg/I,
Krishna, 1401, 24,BOD,2004,0.3-9,mg/I,
Krishna, 1401, 24,COD,2004,-,mg/I,
Krishna, 1401, 24,Total Coliform,2004,15-124x103,MPN/100 ml,
Krishna, 1401, 24,Faecal Coliform ,2004,3-28x103,MPN/100 ml,
Cauvery, 800, 29,Temp ,2004,19-35,0C,
Cauvery, 800, 29,pH,2004,6.6-9,,
Cauvery, 800, 29,Conductivity ,2004,35-39720,µmhos/cm,
Cauvery, 800, 29,DO,2004,3.3-9.9,mg/I,
Cauvery, 800, 29,BOD,2004,1-9,mg/I,
Cauvery, 800, 29,COD,2004,-,mg/I,
Cauvery, 800, 29,Total Coliform,2004,2-5x104,MPN/100 ml,
Cauvery, 800, 29,Faecal Coliform ,2004,2-17x103,MPN/100 ml,
Mahanadi, 851, 22,Temp ,2004,17-34,0C,
Mahanadi, 851, 22,pH,2004,6.3-8.8,,
Mahanadi, 851, 22,Conductivity ,2004,105-20700,µmhos/cm,
Mahanadi, 851, 22,DO,2004,4.4 -9.4,mg/I,
Mahanadi, 851, 22,BOD,2004,0.2-4,mg/I,
Mahanadi, 851, 22,COD,2004,-,mg/I,
Mahanadi, 851, 22,Total Coliform,2004,3-92x103,MPN/100 ml,
Mahanadi, 851, 22,Faecal Coliform ,2004,27-24x103,MPN/100 ml,
Brahmaputra,916,10,Temp ,2004,15-34,0C,
Brahmaputra,916,10,pH,2004,5.2-9,,
Brahmaputra,916,10,Conductivity ,2004,91.445,µmhos/cm,
Brahmaputra,916,10,DO,2004,1.1-9.4,mg/I,
Brahmaputra,916,10,BOD,2004,0.4-4.3,mg/I,
Brahmaputra,916,10,COD,2004,-,mg/I,
Brahmaputra,916,10,Total Coliform,2004,360-24x104,MPN/100 ml,
Brahmaputra,916,10,Faecal Coliform ,2004,300-24x104,MPN/100 ml,
Ganga, 2525,  57,Temp ,2005,4-39,0C,
Ganga, 2525,  57,pH,2005,6.1-9,,
Ganga, 2525,  57,Conductivity ,2005,23-1696,µmhos/cm,
Ganga, 2525,  57,DO,2005,3.2-12.8,mg/I,
Ganga, 2525,  57,BOD,2005,0.1-15.2,mg/I,
Ganga, 2525,  57,COD,2005,1.0-37.6,mg/I,
Ganga, 2525,  57,Total Coliform,2005,13-45x105,MPN/100 ml,
Ganga, 2525,  57,Faecal Coliform ,2005,13-11x105,MPN/100 ml,
Yamuna, 1376, 27,Temp ,2005,11-37,0C,
Yamuna, 1376, 27,pH,2005,6.8-9.1,,
Yamuna, 1376, 27,Conductivity ,2005,90-2290,µmhos/cm,
Yamuna, 1376, 27,DO,2005,0.5-17.3,mg/I,
Yamuna, 1376, 27,BOD,2005,0.8-59,mg/I,
Yamuna, 1376, 27,COD,2005,1-180,mg/I,
Yamuna, 1376, 27,Total Coliform,2005,14-307x106,MPN/100 ml,
Yamuna, 1376, 27,Faecal Coliform ,2005,11-52x105,MPN/100 ml,
Narmada,1312,21,Temp ,2005,21-30,0C,
Narmada,1312,21,pH,2005,3.3-9,,
Narmada,1312,21,Conductivity ,2005,190-1746,µmhos/cm,
Narmada,1312,21,DO,2005,4.8-10.9,mg/I,
Narmada,1312,21,BOD,2005,0.6-4.5,mg/I,
Narmada,1312,21,COD,2005,12-18.3,mg/I,
Narmada,1312,21,Total Coliform,2005,3-2400,MPN/100 ml,
Narmada,1312,21,Faecal Coliform ,2005,2-210,MPN/100 ml,
Godawari, 1465, 35,Temp ,2005,23-32,0C,
Godawari, 1465, 35,pH,2005,6.7-9.1,,
Godawari, 1465, 35,Conductivity ,2005,121-1300,µmhos/cm,
Godawari, 1465, 35,DO,2005,0.8-8.7,mg/I,
Godawari, 1465, 35,BOD,2005,0.5-20,mg/I,
Godawari, 1465, 35,COD,2005,4 -80,mg/I,
Godawari, 1465, 35,Total Coliform,2005,2-33x103,MPN/100 ml,
Godawari, 1465, 35,Faecal Coliform ,2005,1-10x103,MPN/100 ml,
Krishna, 1401, 24,Temp ,2005,24-37,0C,
Krishna, 1401, 24,pH,2005,6.5-9.9,,
Krishna, 1401, 24,Conductivity ,2005,69-43300,µmhos/cm,
Krishna, 1401, 24,DO,2005,1.4-8.8,mg/I,
Krishna, 1401, 24,BOD,2005,0.4-40,mg/I,
Krishna, 1401, 24,COD,2005,4 -44,mg/I,
Krishna, 1401, 24,Total Coliform,2005,17-84x103,MPN/100 ml,
Krishna, 1401, 24,Faecal Coliform ,2005,1-34x103,MPN/100 ml,
Cauvery, 800, 29,Temp ,2005,20-37,0C,
Cauvery, 800, 29,pH,2005,6.2-9.5,,
Cauvery, 800, 29,Conductivity ,2005,28-48700,µmhos/cm,
Cauvery, 800, 29,DO,2005,0.3-9.8,mg/I,
Cauvery, 800, 29,BOD,2005,1-12,mg/I,
Cauvery, 800, 29,COD,2005,16-96,mg/I,
Cauvery, 800, 29,Total Coliform,2005,2-9500,MPN/100 ml,
Cauvery, 800, 29,Faecal Coliform ,2005,1-3x103,MPN/100 ml,
Mahanadi, 851, 22,Temp ,2005,22-34,0C,
Mahanadi, 851, 22,pH,2005,6.1-8.7,,
Mahanadi, 851, 22,Conductivity ,2005,75-36279,µmhos/cm,
Mahanadi, 851, 22,DO,2005,4.5-10,mg/I,
Mahanadi, 851, 22,BOD,2005,0.2-16,mg/I,
Mahanadi, 851, 22,COD,2005,4 -150,mg/I,
Mahanadi, 851, 22,Total Coliform,2005,3-92x103,MPN/100 ml,
Mahanadi, 851, 22,Faecal Coliform ,2005,78-54x103,MPN/100 ml,
Brahmaputra,916,10,Temp ,2005,-,0C,
Brahmaputra,916,10,pH,2005,5.9-7.6,,
Brahmaputra,916,10,Conductivity ,2005,20.408,µmhos/cm,
Brahmaputra,916,10,DO,2005,2-10.5,mg/I,
Brahmaputra,916,10,BOD,2005,0.3-6.2,mg/I,
Brahmaputra,916,10,COD,2005,-,mg/I,
Brahmaputra,916,10,Total Coliform,2005,,MPN/100 ml,
Brahmaputra,916,10,Faecal Coliform ,2005,150-24x104,MPN/100 ml,
Ganga, 2525,  57,Temp ,2006,9-33,0C,
Ganga, 2525,  57,pH,2006,7.0-8.88,,
Ganga, 2525,  57,Conductivity ,2006,97-5620,µmhos/cm,
Ganga, 2525,  57,DO,2006,2.2-11.9,mg/I,
Ganga, 2525,  57,BOD,2006,0.1-16.4,mg/I,
Ganga, 2525,  57,COD,2006,4-38.4,mg/I,
Ganga, 2525,  57,Total Coliform,2006,1-25x105,MPN/100 ml,
Ganga, 2525,  57,Faecal Coliform ,2006,17-11x105,MPN/100 ml,
Yamuna, 1376, 27,Temp ,2006,4-34,0C,
Yamuna, 1376, 27,pH,2006,7.14-9.5,,
Yamuna, 1376, 27,Conductivity ,2006,220-1876,µmhos/cm,
Yamuna, 1376, 27,DO,2006,1.3-18.8,mg/I,
Yamuna, 1376, 27,BOD,2006,1.0-144,mg/I,
Yamuna, 1376, 27,COD,2006,4-240,mg/I,
Yamuna, 1376, 27,Total Coliform,2006,7-231x107,MPN/100 ml,
Yamuna, 1376, 27,Faecal Coliform ,2006,2-13x106,MPN/100 ml,
Narmada,1312,21,Temp ,2006,9-32,0C,
Narmada,1312,21,pH,2006,7.1-8.6,,
Narmada,1312,21,Conductivity ,2006,188-682,µmhos/cm,
Narmada,1312,21,DO,2006,6.2-11,mg/I,
Narmada,1312,21,BOD,2006,0.4-3.7,mg/I,
Narmada,1312,21,COD,2006,3-50,mg/I,
Narmada,1312,21,Total Coliform,2006,3-2400,MPN/100 ml,
Narmada,1312,21,Faecal Coliform ,2006,0-39,MPN/100 ml,
Godawari, 1465, 35,Temp ,2006,19-34,0C,
Godawari, 1465, 35,pH,2006,6.65-9.11,,
Godawari, 1465, 35,Conductivity ,2006,75-691,µmhos/cm,
Godawari, 1465, 35,DO,2006,1.1-9.6,mg/I,
Godawari, 1465, 35,BOD,2006,1.2-32,mg/I,
Godawari, 1465, 35,COD,2006,3-36,mg/I,
Godawari, 1465, 35,Total Coliform,2006,2-31x103,MPN/100 ml,
Godawari, 1465, 35,Faecal Coliform ,2006,2-6x103,MPN/100 ml,
Krishna, 1401, 24,Temp ,2006,15-40,0C,
Krishna, 1401, 24,pH,2006,6.32-9.30,,
Krishna, 1401, 24,Conductivity ,2006,76-2580,µmhos/cm,
Krishna, 1401, 24,DO,2006,3.0-8.5,mg/I,
Krishna, 1401, 24,BOD,2006,0.4-14.8,mg/I,
Krishna, 1401, 24,COD,2006,4 -32.4,mg/I,
Krishna, 1401, 24,Total Coliform,2006,4 -86x103,MPN/100 ml,
Krishna, 1401, 24,Faecal Coliform ,2006,1-6x103,MPN/100 ml,
Cauvery, 800, 29,Temp ,2006,20-34,0C,
Cauvery, 800, 29,pH,2006,7-9.3,,
Cauvery, 800, 29,Conductivity ,2006,26-1694,µmhos/cm,
Cauvery, 800, 29,DO,2006,2.7-8.9,mg/I,
Cauvery, 800, 29,BOD,2006,1-6,mg/I,
Cauvery, 800, 29,COD,2006,8-24,mg/I,
Cauvery, 800, 29,Total Coliform,2006,90-3500,MPN/100 ml,
Cauvery, 800, 29,Faecal Coliform ,2006,3-1400,MPN/100 ml,
Mahanadi, 851, 22,Temp ,2006,20-32,0C,
Mahanadi, 851, 22,pH,2006,6.97-8.9,,
Mahanadi, 851, 22,Conductivity ,2006,113-34587,µmhos/cm,
Mahanadi, 851, 22,DO,2006,4.7-8.5,mg/I,
Mahanadi, 851, 22,BOD,2006,0.2-3.8,mg/I,
Mahanadi, 851, 22,COD,2006,20-40,mg/I,
Mahanadi, 851, 22,Total Coliform,2006,14 -92x103,MPN/100 ml,
Mahanadi, 851, 22,Faecal Coliform ,2006,68-54x103,MPN/100 ml,
Brahmaputra,916,10,Temp ,2006,18-30,0C,
Brahmaputra,916,10,pH,2006,6.9-8,,
Brahmaputra,916,10,Conductivity ,2006,55.485,µmhos/cm,
Brahmaputra,916,10,DO,2006,4.2-10.2,mg/I,
Brahmaputra,916,10,BOD,2006,0.3-5.7,mg/I,
Brahmaputra,916,10,COD,2006,3-47.2,mg/I,
Brahmaputra,916,10,Total Coliform,2006,1-24x104,MPN/100 ml,
Brahmaputra,916,10,Faecal Coliform ,2006,300-24 x104,MPN/100 ml,
Ganga, 2525,  57,Temp ,2007,4-33,0C,
Ganga, 2525,  57,pH,2007,6.1-8.8,,
Ganga, 2525,  57,Conductivity ,2007,23-5040,µmhos/cm,
Ganga, 2525,  57,DO,2007,1.4-11,mg/I,
Ganga, 2525,  57,BOD,2007,0-14,mg/I,
Ganga, 2525,  57,COD,2007,2.6-30,mg/I,
Ganga, 2525,  57,Total Coliform,2007,0-28x105,MPN/100 ml,
Ganga, 2525,  57,Faecal Coliform ,2007,0-7x105,MPN/100 ml,
Yamuna, 1376, 27,Temp ,2007,6.5-34,0C,
Yamuna, 1376, 27,pH,2007,5-8.4,,
Yamuna, 1376, 27,Conductivity ,2007,57-1940,µmhos/cm,
Yamuna, 1376, 27,DO,2007,0-17.7,mg/I,
Yamuna, 1376, 27,BOD,2007,0-93,mg/I,
Yamuna, 1376, 27,COD,2007,1.0-407,mg/I,
Yamuna, 1376, 27,Total Coliform,2007,0-32x107,MPN/100 ml,
Yamuna, 1376, 27,Faecal Coliform ,2007,0-23x106,MPN/100 ml,
Narmada,1312,21,Temp ,2007,19-31,0C,
Narmada,1312,21,pH,2007,7.5-8.8,,
Narmada,1312,21,Conductivity ,2007,244-1629,µmhos/cm,
Narmada,1312,21,DO,2007,6.2-10.4,mg/I,
Narmada,1312,21,BOD,2007,1.2-3.5,mg/I,
Narmada,1312,21,COD,2007,3-19.3,mg/I,
Narmada,1312,21,Total Coliform,2007,7-1600,MPN/100 ml,
Narmada,1312,21,Faecal Coliform ,2007,0-15,MPN/100 ml,
Godawari, 1465, 35,Temp ,2007,20-37,0C,
Godawari, 1465, 35,pH,2007,5.9-8.9,,
Godawari, 1465, 35,Conductivity ,2007,126-918,µmhos/cm,
Godawari, 1465, 35,DO,2007,3.2-7.5,mg/I,
Godawari, 1465, 35,BOD,2007,0.2-36,mg/I,
Godawari, 1465, 35,COD,2007,2-16,mg/I,
Godawari, 1465, 35,Total Coliform,2007,0-2200,MPN/100 ml,
Godawari, 1465, 35,Faecal Coliform ,2007,5-36x103,MPN/100 ml,
Krishna, 1401, 24,Temp ,2007,13-38,0C,
Krishna, 1401, 24,pH,2007,6.2-9.1,,
Krishna, 1401, 24,Conductivity ,2007,69-23400,µmhos/cm,
Krishna, 1401, 24,DO,2007,3.0-10,mg/I,
Krishna, 1401, 24,BOD,2007,0.1-9.8,mg/I,
Krishna, 1401, 24,COD,2007,4 -48,mg/I,
Krishna, 1401, 24,Total Coliform,2007,0-71x103,MPN/100 ml,
Krishna, 1401, 24,Faecal Coliform ,2007,0-1600,MPN/100 ml,
Cauvery, 800, 29,Temp ,2007,19-32,0C,
Cauvery, 800, 29,pH,2007,6.5-8.8,,
Cauvery, 800, 29,Conductivity ,2007,28-56500,µmhos/cm,
Cauvery, 800, 29,DO,2007,0-12.4,mg/I,
